Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,Brand_Model,AgeGroup,km_per_year,log_kmDriven
Mahindra,Scorpio,7,59000.0,Manual,first,Diesel,850000,Mahindra_Scorpio,Mid,8428.57142857143,10.985309671896763
Mercedes-Benz,S-Class,6,39000.0,Automatic,second,Diesel,5950000,Mercedes-Benz_S-Class,Mid,6500.0,10.571342565808699
Maruti Suzuki,Ertiga,3,38000.0,Automatic,first,Petrol,1155000,Maruti Suzuki_Ertiga,Recent,12666.666666666666,10.545367754151743
Maruti Suzuki,Swift,0,6000.0,Automatic,first,Petrol,1150000,Maruti Suzuki_Swift,New,6000.0,8.699681400989514
BMW,3 Series,8,53000.0,Automatic,second,Diesel,1399000,BMW_3 Series,Mid,6625.0,10.87806606028079
BMW,3 Series GT,10,99000.0,Automatic,second,Diesel,1750000,BMW_3 Series GT,Mid,9900.0,11.502885230075814
Mercedes-Benz,E-Class,12,73595.0,Automatic,second,Petrol,699000,Mercedes-Benz_E-Class,Old,6132.916666666667,11.206345955413983
Hyundai,Grand i10,6,51000.0,Manual,first,Petrol,475000,Hyundai_Grand i10,Mid,8500.0,10.839600519357369
Hyundai,Verna,6,57546.0,Automatic,first,Petrol,849999,Hyundai_Verna,Mid,9591.0,10.960357284207447
Mercedes-Benz,C-Class,8,96000.0,Automatic,second,Diesel,2300000,Mercedes-Benz_C-Class,Mid,12000.0,11.472113887062386
BMW,6 Series GT,6,21000.0,Automatic,second,Petrol,4500000,BMW_6 Series GT,Mid,3500.0,9.952325334619427
Maruti Suzuki,Swift,6,48000.0,Automatic,second,Petrol,535000,Maruti Suzuki_Swift,Mid,8000.0,10.778977123006351
Volkswagen,VentoTest,13,22000.0,Manual,first,Petrol,299999,Volkswagen_VentoTest,Old,1692.3076923076924,9.99884318585288
Toyota,Fortuner,3,40000.0,Automatic,first,Diesel,4100000,Toyota_Fortuner,Recent,13333.333333333334,10.596659732783579
Maruti Suzuki,XL6,3,22864.0,Automatic,first,Petrol,1095000,Maruti Suzuki_XL6,Recent,7621.333333333333,10.037362636092155
Maruti Suzuki,Vitara-Brezza,7,64000.0,Manual,first,Diesel,585000,Maruti Suzuki_Vitara-Brezza,Mid,9142.857142857143,11.06665398721974
